"","state","region","population","population_density","gun_murders","total_murders"
"1","Alabama","South",4779736,94.65,135,199
"2","Alaska","West",710231,1.264,19,31
"3","Arizona","West",6392017,57.05,232,352
"4","Arkansas","South",2915918,56.43,93,130
"5","California","West",37253956,244.2,1257,1811
"6","Colorado","West",5029196,49.33,65,117
"7","Connecticut","Northeast",3574097,741.4,97,131
"8","Delaware","South",897934,470.7,38,48
"9","District of Columbia","South",601723,10298,99,131
"10","Florida","South",19687653,360.2,669,987
"11","Georgia","South",9920000,172.5,376,527
"12","Hawaii","West",1360301,216.8,7,24
"13","Idaho","West",1567582,19.5,12,21
"14","Illinois","North Central",12830632,231.9,364,453
"15","Indiana","North Central",6483802,182.5,142,198
"16","Iowa","North Central",3046355,54.81,21,38
"17","Kansas","North Central",2853118,35.09,63,100
"18","Kentucky","South",4339367,110,116,180
"19","Louisiana","South",4533372,105,351,437
"20","Maine","Northeast",1328361,43.04,11,24
"21","Maryland","South",5773552,606.2,293,424
"22","Massachusetts","Northeast",6547629,852.1,118,209
"23","Michigan","North Central",9883640,174.8,413,558
"24","Minnesota","North Central",5303925,67.14,53,91
"25","Mississippi","South",2967297,63.5,120,165
"26","Missouri","North Central",5988927,87.26,321,419
"27","Montana","West",989415,6.858,12,21
"28","Nebraska","North Central",1826341,23.97,32,51
"29","Nevada","West",2700551,24.8,84,158
"30","New Hampshire","Northeast",1316470,147,5,13
"31","New Jersey","Northeast",8791894,1189,246,363
"32","New Mexico","West",2059179,17.16,67,118
"33","New York","Northeast",19378102,415.3,517,860
"34","North Carolina","South",9535483,200.6,286,445
"35","North Dakota","North Central",672591,9.916,4,9
"36","Ohio","North Central",11536504,282.5,310,460
"37","Oklahoma","South",3751351,55.22,111,188
"38","Oregon","West",3831074,40.33,36,78
"39","Pennsylvania","Northeast",12702379,285.3,457,646
"40","Rhode Island","Northeast",1052567,1006,16,29
"41","South Carolina","South",4625364,157.1,207,280
"42","South Dakota","North Central",814180,10.86,8,14
"43","Tennessee","South",6346105,156.6,219,356
"44","Texas","South",25145561,98.07,805,1246
"45","Utah","West",2763885,34.3,22,52
"46","Vermont","Northeast",625741,67.73,2,7
"47","Virginia","South",8001024,207.3,250,369
"48","Washington","West",6724540,102.6,93,151
"49","West Virginia","South",1852994,77.06,27,55
"50","Wisconsin","North Central",5686986,105.2,97,151
"51","Wyoming","West",563626,5.851,5,8
